AIRPLANE,AEROPLANE
PANTS,TROUSERS
APARTMENT,FLAT
TRUCK,LORRY
VACATION,HOLIDAY
CHIPS,CRISPS
FRENCH FRIES,CHIPS
SNEAKERS,TRAINERS
STORE,SHOP
SNEAKER,TRAINER
SOCCER,FOOTBALL
MAILBOX,POSTBOX
COOKIE,BISCUIT
MATH,MATHS
CENTER,CENTRE
COLOR,COLOUR
COLORS,COLOURS
GRAY,GREY
DONUT,DOUGHNUT
YOGURT,YOGHURT
RUMOR,RUMOUR
HONOR,HONOUR
BEHAVIOR,BEHAVIOUR
ORGANIZE,ORGANISE
MILLIMETRE,MILLIMETER
CENTIMETER,CENTIMETRE
AGEING,AGING
KILOMETER,KILOMETRE
CHARACTERIZE,CHARACTERISE
CIVILIZATION,CIVILISATION
ORGANIZE,ORGANISE
ORGANIZATION,ORGANISATION
METER,METRE
FIRE TRUCK,FIRE ENGINE
FIRETRUCK,FIRE ENGINE
FREEWAY,MOTORWAY
HIGHWAY,MOTORWAY
EXPRESSWAY,MOTORWAY
RACECAR,RACING CAR
GASOLINE,PETROL
LICENSE PLATE,NUMBER PLATE
TURN SIGNAL,INDICATOR
PATROL CAR,POLICE CAR
RAILROAD,RAILWAY
TIRE,TYRE
CAB,TAXI
WINDSHIELD,WINDSCREEN
WRENCH,SPANNER
CROSSWALK,PEDESTRIAN CROSSING
STREETCAR,TRAM
ALUMINUM,ALUMINIUM
MUSTACHE,MOUSTACHE
MOM,MUM
PAJAMAS,PYJAMAS
SLED,SLEDGE
COZY,COSY
LICORICE,LIQUORICE
SMOLDER,SMOULDER
FIBER,FIBRE
THEATER,THEATRE
DIAPER,NAPPY
JELLY,JAM
JELLO,JELLY
COOKER,OVEN
SWEATER,JUMPER
NEIGHBOR,NEIGHBOUR
NEIGHBORHOOD,NEIGHBOURHOOD
NEIGHBORS,NEIGHBOURS
CRITICIZE,CRITICISE
ANALYZE,ANALYSE
EGGPLANT,AUBERGINE
ELEVATOR,LIFT
EMPHASIZE,EMPHASISE
ESOPHAGUS,OESOPHAGUS
ZUCCHINI,COURGETTE

